CPU_Freq,CPU_Cores,RAM_Limit_MB,Storage_Limit_MB,FPS_Avg,FPS_Min,FPS_Max,Total_Time
1400,0-1,1024,256,0.29,0.00,0.47,48.83
1400,0-1,1024,128,0.30,0.00,0.49,47.47
1400,0-1,1024,64,0.29,0.00,0.49,48.01
1400,0-1,512,256,0.28,0.00,0.47,48.99
1400,0-1,512,128,0.29,0.00,0.49,48.36
1400,0-1,512,64,0.29,0.00,0.47,48.73
1400,0-1,256,256,0.28,0.00,0.47,49.12
1400,0-1,256,128,0.29,0.00,0.49,47.96
1400,0-1,256,64,0.29,0.00,0.48,48.61
1400,0,1024,256,0.14,0.00,0.23,98.78
1400,0,1024,128,0.14,0.00,0.23,98.82
1400,0,1024,64,0.14,0.00,0.24,97.53
1400,0,512,256,0.14,0.00,0.23,98.74
1400,0,512,128,0.14,0.00,0.23,98.18
1400,0,512,64,0.14,0.00,0.24,97.52
1400,0,256,256,0.14,0.00,0.24,96.38
1400,0,256,128,0.14,0.00,0.24,98.00
1400,0,256,64,0.14,0.00,0.24,98.21
1300,0-3,1024,256,0.27,0.00,0.45,51.70
1300,0-3,1024,128,0.27,0.00,0.45,51.46
1300,0-3,1024,64,0.27,0.00,0.45,51.73
1300,0-3,512,256,0.27,0.00,0.45,51.73
1300,0-3,512,128,0.27,0.00,0.45,51.11
1300,0-3,512,64,0.27,0.00,0.45,51.71
1300,0-3,256,256,0.27,0.00,0.45,51.43
1300,0-3,256,128,0.27,0.00,0.45,51.63
1300,0-3,256,64,0.27,0.00,0.45,51.32
1300,0-1,1024,256,0.27,0.00,0.45,51.65
1300,0-1,1024,128,0.27,0.00,0.45,51.27
1300,0-1,1024,64,0.27,0.00,0.45,51.36
1300,0-1,512,256,0.27,0.00,0.45,51.51
1300,0-1,512,128,0.27,0.00,0.44,52.01
1300,0-1,512,64,0.27,0.00,0.45,51.11
1300,0-1,256,256,0.27,0.00,0.45,51.20
1300,0-1,256,128,0.27,0.00,0.44,51.83
1300,0-1,256,64,0.27,0.00,0.45,51.31
1300,0,1024,256,0.13,0.00,0.22,104.75
1300,0,1024,128,0.13,0.00,0.22,104.54
1300,0,1024,64,0.13,0.00,0.22,104.21
1300,0,512,256,0.13,0.00,0.22,104.03
1300,0,512,128,0.13,0.00,0.22,104.00
1300,0,512,64,0.13,0.00,0.22,104.63
1300,0,256,256,0.13,0.00,0.22,105.21
1300,0,256,128,0.13,0.00,0.22,104.41
1300,0,256,64,0.13,0.00,0.22,103.88
1200,0-3,1024,256,0.26,0.00,0.43,55.15
1200,0-3,1024,128,0.25,0.00,0.41,55.92
1200,0-3,1024,64,0.25,0.00,0.41,56.28
1200,0-3,512,256,0.26,0.00,0.43,54.40
1200,0-3,512,128,0.25,0.00,0.41,55.87
1200,0-3,512,64,0.26,0.00,0.43,54.29
1200,0-3,256,256,0.25,0.00,0.41,56.46
1200,0-3,256,128,0.25,0.00,0.42,55.25
1200,0-3,256,64,0.26,0.00,0.42,54.50
1200,0-1,1024,256,0.26,0.00,0.42,54.77
1200,0-1,1024,128,0.25,0.00,0.42,54.92
1200,0-1,1024,64,0.25,0.00,0.41,56.28
1200,0-1,512,256,0.25,0.00,0.42,55.11
1200,0-1,512,128,0.25,0.00,0.41,55.66
1200,0-1,512,64,0.25,0.00,0.41,56.10
1200,0-1,256,256,0.25,0.00,0.42,55.74
1200,0-1,256,128,0.25,0.00,0.42,55.12
1200,0-1,256,64,0.26,0.00,0.42,54.49
1200,0,1024,256,0.12,0.00,0.20,112.68
1200,0,1024,128,0.12,0.00,0.20,113.59
1200,0,1024,64,0.12,0.00,0.20,112.60
1200,0,512,256,0.12,0.00,0.20,113.11
1200,0,512,128,0.13,0.00,0.21,111.75
1200,0,512,64,0.12,0.00,0.21,112.12
1200,0,256,256,0.12,0.00,0.20,114.37
1200,0,256,128,0.12,0.00,0.20,113.30
1200,0,256,64,0.12,0.00,0.21,112.61
1100,0-3,1024,256,0.24,0.00,0.39,58.57
1100,0-3,1024,128,0.23,0.00,0.39,59.75
1100,0-3,1024,64,0.24,0.00,0.39,58.17
1100,0-3,512,256,0.23,0.00,0.39,59.91
1100,0-3,512,128,0.23,0.00,0.38,60.80
1100,0-3,512,64,0.23,0.00,0.38,60.25
1100,0-3,256,256,0.23,0.00,0.39,59.53
1100,0-3,256,128,0.23,0.00,0.38,59.86
1100,0-3,256,64,0.23,0.00,0.38,60.76
1100,0-1,1024,256,0.24,0.00,0.39,58.66
1100,0-1,1024,128,0.23,0.00,0.38,59.23
1100,0-1,1024,64,0.23,0.00,0.38,60.01
1100,0-1,512,256,0.24,0.00,0.40,59.41
1100,0-1,512,128,0.23,0.00,0.39,59.42
1100,0-1,512,64,0.23,0.00,0.39,60.39
1100,0-1,256,256,0.23,0.00,0.37,60.95
1100,0-1,256,128,0.23,0.00,0.39,59.98
1100,0-1,256,64,0.23,0.00,0.38,60.12
1100,0,1024,256,0.11,0.00,0.19,122.71
1100,0,1024,128,0.11,0.00,0.19,122.27
1100,0,1024,64,0.11,0.00,0.19,122.10
1100,0,512,256,0.11,0.00,0.19,122.49
1100,0,512,128,0.11,0.00,0.19,122.60
1100,0,512,64,0.11,0.00,0.19,122.05
1100,0,256,256,0.11,0.00,0.19,122.95
1100,0,256,128,0.11,0.00,0.19,121.59
1100,0,256,64,0.11,0.00,0.19,122.81
1000,0-3,1024,256,0.21,0.00,0.35,65.50
1000,0-3,1024,128,0.21,0.00,0.35,66.24
1000,0-3,1024,64,0.21,0.00,0.36,65.24
1000,0-3,512,256,0.21,0.00,0.35,65.38
1000,0-3,512,128,0.22,0.00,0.36,64.02
1000,0-3,512,64,0.21,0.00,0.35,66.79
1000,0-3,256,256,0.21,0.00,0.35,66.32
1000,0-3,256,128,0.22,0.00,0.36,64.32
1000,0-3,256,64,0.21,0.00,0.35,65.64
1000,0-1,1024,256,0.22,0.00,0.36,64.40
1000,0-1,1024,128,0.22,0.00,0.36,64.36
1000,0-1,1024,64,0.22,0.00,0.36,64.05
1000,0-1,512,256,0.22,0.00,0.36,64.43
1000,0-1,512,128,0.22,0.00,0.36,64.83
1000,0-1,512,64,0.22,0.00,0.35,65.11
